"age","credithistory","creditstatus","customerid","id","paymenthistory","callreason","customervalue","frequentcaller","customername","gender","income","clvsegment","zipcode","circleid","startingmember"
36,"Repaid on time","Due payment","CE-154",NA,"Same week",NA,NA,"Yes","Derreck Monroe","m",47755,NA,25324,"CI-1","No"
60,"Past arrears","Clear","CE-160",NA,"Same week",NA,NA,"Yes","Caitlin Dorcas","f",57567,NA,31442,"CI-1","No"
59,"Repaid on time","Clear","CE-162",NA,"Same month",NA,NA,"No","Torrey Murphy","m",42925,NA,35010,"CI-1","No"
24,"Past arrears","Clear","CE-163",NA,"Same week",NA,NA,"Yes","Nathan Edwards","m",32085,NA,13713,"CI-1","No"
60,"Repaid on time","Clear","CE-164",NA,"Same day",NA,NA,"Yes","Kayla Faucz","f",51405,NA,22074,"CI-1","No"
38,"Paid on time","Due payment","CE-166",NA,"Same month",NA,NA,"Yes","Kyla Baroody","f",46148,NA,27097,"CI-1","No"
48,"Repaid on time","Clear","CE-168",NA,"Same week",NA,NA,"No","Andrew Bice","m",53277,NA,34959,"CI-1","No"
18,"Repaid on time","Due payment","CE-171",NA,"Same week",NA,NA,"Yes","Parker Hubbuck","m",25419,NA,41607,"CI-1","No"
19,"Paid on time","Due payment","CE-172",NA,"Same week",NA,NA,"No","Gavin Daugherty","m",29765,NA,22437,"CI-1","No"
48,"Past arrears","Clear","CE-173",NA,"Same month",NA,NA,"Yes","Olivia Paxton","f",51187,NA,40709,"CI-1","No"
18,"Past arrears","Clear","CE-178",NA,"Same month",NA,NA,"Yes","Molly Mccann","f",21357,NA,21423,"CI-1","No"
60,"Past arrears","Clear","CE-179",NA,"Same month",NA,NA,"Yes","Alexander Chism","m",84054,NA,24301,"CI-1","No"
29,"Repaid on time","Clear","CE-180",NA,"Same month",NA,NA,"Yes","Evan Korisky","m",34474,NA,10589,"CI-1","No"
22,"Repaid on time","Clear","CE-182",NA,"Same day",NA,NA,"Yes","Rachael Randolph Abling","f",27173,NA,29758,"CI-1","No"
30,"Repaid on time","Clear","CE-186",NA,"Same day",NA,NA,"No","Brooke Brondum","f",39699,NA,22421,"CI-1","No"
39,"Past arrears","Clear","CE-189",NA,"Same week",NA,NA,"No","Jordan Elkins","m",34311,NA,13605,"CI-1","No"
36,"Past arrears","Clear","CE-193",NA,"Same week",NA,NA,"No","Emily Mertz","f",45796,NA,31234,"CI-1","No"
36,"Paid on time","Clear","CE-197",NA,"Same day",NA,NA,"Yes","Austin Cesario","m",34274,NA,17630,"CI-1","No"
58,"Paid on time","Clear","CE-198",NA,"Same week",NA,NA,"Yes","Anna-Marie Ener","f",87403,NA,29928,"CI-1","No"
60,"Repaid on time","Due payment","CE-202",NA,"Same week",NA,NA,"No","Matthew Foster","m",71309,NA,38511,"CI-1","No"
47,"Past arrears","Clear","CE-203",NA,"Same week",NA,NA,"Yes","Jessica Hanne","f",63541,NA,10330,"CI-1","Yes"
51,"Paid on time","Clear","CE-208",NA,"Same month",NA,NA,"Yes","Austin Spencer","m",42492,NA,40510,"CI-1","No"
49,"Paid on time","Clear","CE-211",NA,"Same week",NA,NA,"Yes","Donald Ladenburger","m",47838,NA,34942,"CI-1","No"
32,"Past arrears","Clear","CE-212",NA,"Same month",NA,NA,"Yes","Cody Raisbeck","m",45808,NA,22525,"CI-1","No"
34,"Paid on time","Clear","CE-215",NA,"Same day",NA,NA,"Yes","Shane Whittington","m",54406,NA,19343,"CI-1","No"
49,"Past arrears","Due payment","CE-217",NA,"Same week",NA,NA,"Yes","Breeanna Rudat","f",53384,NA,35240,"CI-1","No"
47,"Paid on time","Due payment","CE-218",NA,"Same week",NA,NA,"Yes","Ryan Caviness","m",42376,NA,19343,"CI-1","No"
18,"Past arrears","Due payment","CE-219",NA,"Same week",NA,NA,"No","Colin Defrece","m",21573,NA,40468,"CI-1","No"
53,"Paid on time","Due payment","CE-222",NA,"Same month",NA,NA,"Yes","Katrina Salmon","f",54638,NA,33776,"CI-1","No"
37,"Paid on time","Clear","CE-230",NA,"Same week",NA,NA,"No","Wyatt Pruitt","m",48778,NA,30262,"CI-1","No"
34,"Paid on time","Clear","CE-231",NA,"Same day",NA,NA,"No","Christopher Thompson","m",40730,NA,38440,"CI-1","No"
33,"Paid on time","Clear","CE-232",NA,"Same week",NA,NA,"No","Collin Daubenspeck","m",45524,NA,13451,"CI-1","No"
51,"Past arrears","Clear","CE-233",NA,"Same week",NA,NA,"No","Jordan Coleman","m",50728,NA,36978,"CI-1","No"
61,"Repaid on time","Clear","CE-234",NA,"Same month",NA,NA,"No","Robert Brown","m",84882,NA,30749,"CI-1","No"
41,"Repaid on time","Clear","CE-236",NA,"Same day",NA,NA,"Yes","Phelan Bol","m",52502,NA,10379,"CI-1","No"
52,"Past arrears","Due payment","CE-243",NA,"Same day",NA,NA,"Yes","Kristen Jett","f",93106,NA,36332,"CI-1","No"
61,"Past arrears","Due payment","CE-246",NA,"Same week",NA,NA,"Yes","Brianna Evans","f",109678,NA,11911,"CI-1","No"
41,"Repaid on time","Clear","CE-248",NA,"Same day",NA,NA,"Yes","Franklin Westerfield","m",59909,NA,14959,"CI-1","No"
56,"Paid on time","Clear","CE-250",NA,"Same week",NA,NA,"No","Austin Brown","m",59538,NA,20645,"CI-1","No"
54,"Repaid on time","Clear","CE-251",NA,"Same month",NA,NA,"No","Zachary Hammett","m",89448,NA,11285,"CI-1","No"
52,"Paid on time","Clear","CE-252",NA,"Same week",NA,NA,"Yes","Tylea Mcree","f",62961,NA,25022,"CI-1","No"
19,"Past arrears","Clear","CE-254",NA,"Same day",NA,NA,"No","Melanie Barton","f",22570,NA,25756,"CI-1","No"
60,"Paid on time","Clear","CE-257",NA,"Same month",NA,NA,"Yes","Dillon Jordan","m",58158,NA,15565,"CI-1","No"
32,"Paid on time","Clear","CE-259",NA,"Same month",NA,NA,"Yes","Jeffrey Thwaites","m",46853,NA,37069,"CI-1","No"
20,"Past arrears","Due payment","CE-264",NA,"Same week",NA,NA,"Yes","Alyssa Cassaday","f",22817,NA,17901,"CI-1","No"
34,"Paid on time","Due payment","CE-266",NA,"Same week",NA,NA,"Yes","Mikayla Frank","f",38187,NA,33988,"CI-1","No"
49,"Repaid on time","Clear","CE-268",NA,"Same week",NA,NA,"Yes","Luke Freestone","m",73336,NA,36446,"CI-1","No"
55,"Past arrears","Clear","CE-270",NA,"Same week",NA,NA,"No","Miranda Vero","f",76173,NA,35948,"CI-1","No"
45,"Past arrears","Clear","CE-271",NA,"Same week",NA,NA,"No","Alaina Brown","f",64652,NA,30929,"CI-1","No"
54,"Past arrears","Clear","CE-272",NA,"Same day",NA,NA,"No","Kendan Orozco-Word","m",74340,NA,18957,"CI-1","No"
32,"Past arrears","Due payment","CE-278",NA,"Same week",NA,NA,"No","Jacqueline Bolte","f",46821,NA,35547,"CI-1","No"
46,"Repaid on time","Due payment","CE-281",NA,"Same day",NA,NA,"Yes","Jessica Anderson","f",37926,NA,37920,"CI-1","No"
35,"Past arrears","Clear","CE-282",NA,"Same week",NA,NA,"Yes","Vanessa Newbern","f",36300,NA,24650,"CI-1","No"
33,"Past arrears","Clear","CE-285",NA,"Same day",NA,NA,"Yes","Emily Vigil","f",26850,NA,32789,"CI-1","No"
22,"Paid on time","Clear","CE-286",NA,"Same week",NA,NA,"No","Alexander Phillips","m",24330,NA,41571,"CI-1","No"
53,"Paid on time","Clear","CE-289",NA,"Same day",NA,NA,"No","Joshua Marcus","m",73019,NA,26823,"CI-1","No"
30,"Repaid on time","Due payment","CE-290",NA,"Same month",NA,NA,"No","Matthew Martinelli","m",32339,NA,14892,"CI-1","No"
25,"Past arrears","Due payment","CE-296",NA,"Same day",NA,NA,"No","Perri White","f",26475,NA,38344,"CI-1","No"
22,"Paid on time","Clear","CE-298",NA,"Same day",NA,NA,"Yes","Cody Essenburg","m",30086,NA,22479,"CI-1","No"
32,"Paid on time","Due payment","CE-304",NA,"Same day",NA,NA,"No","Elizabeth Fallbach","f",43501,NA,26212,"CI-1","No"
26,"Paid on time","Clear","CE-305",NA,"Same week",NA,NA,"Yes","Cody Bengford","m",34113,NA,27847,"CI-1","No"
27,"Repaid on time","Due payment","CE-306",NA,"Same week",NA,NA,"No","Kevin Weatherford","m",32522,NA,31903,"CI-1","No"
53,"Paid on time","Clear","CE-307",NA,"Same week",NA,NA,"Yes","Andrew Savery","m",59927,NA,21729,"CI-1","No"
48,"Past arrears","Clear","CE-315",NA,"Same day",NA,NA,"No","Joshua Tye","m",63304,NA,32592,"CI-1","No"
60,"Past arrears","Clear","CE-316",NA,"Same day",NA,NA,"No","Cole Tennison","m",53942,NA,29896,"CI-1","No"
30,"Paid on time","Clear","CE-317",NA,"Same week",NA,NA,"No","Callista Weber","f",34179,NA,41231,"CI-1","No"
22,"Paid on time","Clear","CE-325",NA,"Same week",NA,NA,"Yes","Michael Wilson","m",32378,NA,10474,"CI-1","No"
32,"Paid on time","Clear","CE-326",NA,"Same month",NA,NA,"Yes","Jessica Rue","f",31456,NA,23807,"CI-1","No"
39,"Past arrears","Due payment","CE-327",NA,"Same day",NA,NA,"Yes","Allison Raben","f",37545,NA,38058,"CI-1","No"
41,"Paid on time","Due payment","CE-329",NA,"Same day",NA,NA,"Yes","Justin Detschermitsch","m",49707,NA,30359,"CI-1","No"
54,"Paid on time","Due payment","CE-333",NA,"Same week",NA,NA,"No","Brandon Winkler","m",62154,NA,19047,"CI-1","No"
53,"Paid on time","Clear","CE-336",NA,"Same day",NA,NA,"No","Kelley Harris","f",66834,NA,21385,"CI-1","No"
24,"Repaid on time","Clear","CE-339",NA,"Same week",NA,NA,"Yes","Natalie Swim","f",24642,NA,19650,"CI-1","No"
19,"Past arrears","Clear","CE-341",NA,"Same day",NA,NA,"Yes","Brandon Behne","m",18152,NA,40340,"CI-1","No"
34,"Past arrears","Due payment","CE-342",NA,"Same day",NA,NA,"Yes","Zachary Mercia","m",44196,NA,41890,"CI-1","No"
56,"Paid on time","Clear","CE-346",NA,"Same week",NA,NA,"Yes","Angela Monheiser","f",61199,NA,26979,"CI-1","No"
30,"Paid on time","Due payment","CE-348",NA,"Same week",NA,NA,"No","Richard Broker","m",43943,NA,40409,"CI-1","No"
32,"Paid on time","Due payment","CE-349",NA,"Same month",NA,NA,"Yes","Lexee Crabb","f",33137,NA,35601,"CI-1","No"
28,"Repaid on time","Clear","CE-354",NA,"Same week",NA,NA,"Yes","Crysta Kubishta","f",36639,NA,20106,"CI-1","No"
33,"Past arrears","Due payment","CE-355",NA,"Same week",NA,NA,"No","Ryan Servantez","m",37721,NA,13677,"CI-1","No"
41,"Past arrears","Clear","CE-359",NA,"Same week",NA,NA,"No","Courtney Jurich","f",50505,NA,40012,"CI-1","No"
40,"Past arrears","Clear","CE-361",NA,"Same month",NA,NA,"Yes","Hunter Binder","m",47591,NA,17397,"CI-1","No"
57,"Repaid on time","Clear","CE-366",NA,"Same month",NA,NA,"Yes","Jakob Orbanosky","m",78915,NA,10498,"CI-1","No"
23,"Past arrears","Clear","CE-376",NA,"Same week",NA,NA,"Yes","John Bunker","m",30725,NA,41692,"CI-1","No"
59,"Paid on time","Clear","CE-379",NA,"Same day",NA,NA,"Yes","Kyle Kuntz","m",69763,NA,16521,"CI-1","No"
35,"Paid on time","Due payment","CE-380",NA,"Same day",NA,NA,"Yes","Marcos Koldeway","m",38151,NA,33056,"CI-1","No"
44,"Repaid on time","Clear","CE-381",NA,"Same month",NA,NA,"Yes","Hunter Lewis","m",58389,NA,17684,"CI-1","No"
49,"Paid on time","Clear","CE-383",NA,"Same week",NA,NA,"Yes","Natalie Tolley","f",32530,NA,38532,"CI-1","No"
27,"Paid on time","Due payment","CE-384",NA,"Same month",NA,NA,"Yes","Dillon Reece","m",33214,NA,38178,"CI-1","No"
51,"Paid on time","Clear","CE-385",NA,"Same week",NA,NA,"Yes","Aaron Hunsaker","m",53394,NA,22285,"CI-1","No"
27,"Paid on time","Clear","CE-386",NA,"Same day",NA,NA,"Yes","Kody Shira","m",35893,NA,13503,"CI-1","No"
46,"Repaid on time","Clear","CE-388",NA,"Same week",NA,NA,"Yes","Sarah Kamnikar","f",54041,NA,33010,"CI-1","No"
23,"Past arrears","Clear","CE-389",NA,"Same month",NA,NA,"Yes","Brittani Apple","f",26073,NA,37609,"CI-1","No"
45,"Paid on time","Due payment","CE-390",NA,"Same month",NA,NA,"No","Austin Neureiter","m",60142,NA,33887,"CI-1","No"
49,"Past arrears","Clear","CE-392",NA,"Same week",NA,NA,"Yes","Jordan Treloar","f",63370,NA,10621,"CI-1","No"
44,"Repaid on time","Clear","CE-393",NA,"Same day",NA,NA,"No","Yasmina Showers","f",50936,NA,28634,"CI-1","No"
38,"Paid on time","Clear","CE-394",NA,"Same week",NA,NA,"No","Trey Nevarez","m",48980,NA,32973,"CI-1","No"
64,"Past arrears","Due payment","CE-395",NA,"Same day",NA,NA,"Yes","Brianna Scholz","f",79966,NA,10393,"CI-1","No"
51,"Past arrears","Clear","CE-396",NA,"Same day",NA,NA,"Yes","Jacob Palmer","m",47401,NA,35464,"CI-1","No"
52,"Past arrears","Clear","CE-399",NA,"Same day",NA,NA,"No","Sadie Beasley","f",38430,NA,27939,"CI-1","No"
61,"Paid on time","Due payment","CE-403",NA,"Same month",NA,NA,"Yes","Seth Engberson","m",78292,NA,24415,"CI-1","No"
62,"Past arrears","Clear","CE-404",NA,"Same month",NA,NA,"Yes","Caitlyn Herron","f",62733,NA,23756,"CI-1","No"
32,"Paid on time","Clear","CE-413",NA,"Same week",NA,NA,"Yes","Alana Gillespie","f",48410,NA,10266,"CI-1","No"
19,"Repaid on time","Clear","CE-416",NA,"Same month",NA,NA,"No","Sarah Branzell","f",20320,NA,10875,"CI-1","No"
54,"Repaid on time","Clear","CE-419",NA,"Same week",NA,NA,"Yes","Ted Nelson","m",77862,NA,37327,"CI-1","No"
62,"Paid on time","Clear","CE-421",NA,"Same month",NA,NA,"No","Lauren Roth","f",77728,NA,40929,"CI-1","No"
30,"Past arrears","Due payment","CE-422",NA,"Same month",NA,NA,"Yes","Zachary Engle","m",31579,NA,21152,"CI-1","No"
20,"Repaid on time","Due payment","CE-423",NA,"Same day",NA,NA,"No","Jeffrey Lutz","m",26555,NA,39970,"CI-1","No"
25,"Paid on time","Due payment","CE-426",NA,"Same week",NA,NA,"Yes","Therica Cleghorn","f",30528,NA,31261,"CI-1","No"
53,"Paid on time","Clear","CE-427",NA,"Same week",NA,NA,"No","Cody Swank","m",72770,NA,30777,"CI-1","No"
51,"Paid on time","Due payment","CE-431",NA,"Same week",NA,NA,"No","Elayna Jackson","f",44278,NA,39156,"CI-1","No"
18,"Past arrears","Clear","CE-436",NA,"Same week",NA,NA,"Yes","Sean Eddy","m",19989,NA,35807,"CI-1","No"
44,"Paid on time","Due payment","CE-439",NA,"Same day",NA,NA,"No","Mathew Walker","m",22001,NA,31418,"CI-1","No"
37,"Paid on time","Due payment","CE-440",NA,"Same day",NA,NA,"No","Jordyn Richards","f",47927,NA,39396,"CI-1","No"
18,"Paid on time","Clear","CE-448",NA,"Same month",NA,NA,"Yes","Luke Grennan","m",29389,NA,25408,"CI-1","No"
63,"Repaid on time","Clear","CE-451",NA,"Same week",NA,NA,"Yes","Robert Vaughan","m",72256,NA,34750,"CI-1","No"
37,"Paid on time","Clear","CE-452",NA,"Same week",NA,NA,"Yes","Nicolas Wilson","m",48298,NA,17733,"CI-1","No"
26,"Repaid on time","Clear","CE-453",NA,"Same month",NA,NA,"Yes","Mariah Smith","f",35523,NA,35204,"CI-1","No"
39,"Past arrears","Clear","CE-454",NA,"Same week",NA,NA,"Yes","Justin Keever","m",56009,NA,22783,"CI-1","No"
18,"Paid on time","Due payment","CE-456",NA,"Same day",NA,NA,"No","Sean Mccaleb","m",23450,NA,23652,"CI-1","No"
59,"Paid on time","Clear","CE-457",NA,"Same week",NA,NA,"Yes","Jacob Spencer","m",63501,NA,21842,"CI-1","No"
29,"Paid on time","Clear","CE-461",NA,"Same day",NA,NA,"Yes","Nicholas De Forge","m",40280,NA,14610,"CI-1","No"
20,"Repaid on time","Clear","CE-463",NA,"Same day",NA,NA,"Yes","Delanie Bishop","f",29180,NA,34533,"CI-1","No"
43,"Paid on time","Clear","CE-467",NA,"Same month",NA,NA,"No","Bailey Steinhauer","f",51163,NA,24958,"CI-1","No"
41,"Paid on time","Clear","CE-468",NA,"Same week",NA,NA,"Yes","Garrett Welch","m",47980,NA,25922,"CI-1","No"
39,"Past arrears","Due payment","CE-470",NA,"Same week",NA,NA,"Yes","Rachel Harris","f",32353,NA,15296,"CI-1","No"
51,"Paid on time","Clear","CE-475",NA,"Same week",NA,NA,"Yes","Brandi Siekmeier","f",77798,NA,30689,"CI-1","No"
35,"Paid on time","Due payment","CE-478",NA,"Same day",NA,NA,"No","Eric Robinson","m",43142,NA,31177,"CI-1","No"
41,"Repaid on time","Due payment","CE-479",NA,"Same week",NA,NA,"No","Chelsea Hammers","f",54029,NA,30185,"CI-1","No"
63,"Repaid on time","Due payment","CE-482",NA,"Same month",NA,NA,"No","Mark Berger","m",96589,NA,36231,"CI-1","No"
41,"Paid on time","Clear","CE-495",NA,"Same day",NA,NA,"Yes","Ashten Baird","f",52160,NA,20323,"CI-1","No"
52,"Paid on time","Due payment","CE-499",NA,"Same month",NA,NA,"Yes","Michael Carlson","m",47932,NA,10449,"CI-1","No"
32,"Paid on time","Clear","CE-502",NA,"Same week",NA,NA,"Yes","Joshua Eck","m",38440,NA,39647,"CI-1","No"
44,"Paid on time","Due payment","CE-507",NA,"Same week",NA,NA,"Yes","Courtnie Underwood","f",48225,NA,23762,"CI-1","No"
49,"Repaid on time","Clear","CE-511",NA,"Same day",NA,NA,"No","Brandie Stout","f",61839,NA,32399,"CI-1","No"
32,"Repaid on time","Due payment","CE-514",NA,"Same week",NA,NA,"Yes","Heather Friedman","f",40312,NA,24846,"CI-1","No"
42,"Paid on time","Clear","CE-515",NA,"Same day",NA,NA,"Yes","Cade Littrell","m",50335,NA,15896,"CI-1","No"
46,"Repaid on time","Clear","CE-520",NA,"Same month",NA,NA,"Yes","Jacob Steele","m",44924,NA,12069,"CI-1","No"
53,"Past arrears","Due payment","CE-526",NA,"Same day",NA,NA,"Yes","Michaela Herbstreit","f",56265,NA,29204,"CI-1","No"
47,"Past arrears","Due payment","CE-527",NA,"Same day",NA,NA,"Yes","Darian Weis","m",45564,NA,24245,"CI-1","No"
28,"Repaid on time","Due payment","CE-530",NA,"Same month",NA,NA,"Yes","Corrin Cecale","f",37044,NA,27949,"CI-1","No"
62,"Past arrears","Due payment","CE-534",NA,"Same day",NA,NA,"Yes","Charles Otava","m",72911,NA,41521,"CI-1","No"
61,"Paid on time","Clear","CE-536",NA,"Same week",NA,NA,"No","Madeline Lenz","f",86422,NA,22689,"CI-1","No"
57,"Paid on time","Due payment","CE-537",NA,"Same week",NA,NA,"Yes","Jonathan Klachko","m",77780,NA,17924,"CI-1","No"
61,"Past arrears","Clear","CE-542",NA,"Same week",NA,NA,"Yes","Christopher Lightenburger","m",81753,NA,13800,"CI-1","No"
19,"Past arrears","Clear","CE-545",NA,"Same week",NA,NA,"Yes","Joshua Gennetten","m",27137,NA,12635,"CI-1","No"
49,"Repaid on time","Due payment","CE-546",NA,"Same week",NA,NA,"Yes","Megan Barwick","f",46313,NA,26234,"CI-1","No"
38,"Paid on time","Clear","CE-547",NA,"Same week",NA,NA,"Yes","Kelcie Riley","f",45781,NA,24567,"CI-1","No"
29,"Repaid on time","Due payment","CE-550",NA,"Same month",NA,NA,"No","Michael Oldham","m",26777,NA,36194,"CI-1","No"
44,"Paid on time","Clear","CE-557",NA,"Same week",NA,NA,"Yes","Chelsea Foos","f",44109,NA,36128,"CI-1","No"
21,"Past arrears","Clear","CE-563",NA,"Same month",NA,NA,"Yes","Nicholas Dashyan","m",24751,NA,23790,"CI-1","No"
35,"Past arrears","Due payment","CE-565",NA,"Same day",NA,NA,"Yes","Adam Leverson","m",49728,NA,20685,"CI-1","No"
48,"Past arrears","Due payment","CE-566",NA,"Same month",NA,NA,"No","Mason Kirscht","m",49923,NA,11413,"CI-1","No"
64,"Past arrears","Clear","CE-568",NA,"Same week",NA,NA,"Yes","Sarah Hessek","f",86274,NA,33996,"CI-1","No"
55,"Paid on time","Clear","CE-573",NA,"Same month",NA,NA,"No","Hayden Clark","m",66422,NA,19097,"CI-1","No"
37,"Paid on time","Clear","CE-574",NA,"Same month",NA,NA,"No","Richard Hanson","m",54256,NA,27488,"CI-1","No"
21,"Repaid on time","Clear","CE-575",NA,"Same week",NA,NA,"Yes","Garret Novak","m",22857,NA,12309,"CI-1","No"
30,"Paid on time","Due payment","CE-577",NA,"Same month",NA,NA,"No","Abalean Schlegel-Boraas","f",31082,NA,21705,"CI-1","No"
37,"Repaid on time","Clear","CE-578",NA,"Same day",NA,NA,"Yes","Adele Olds","f",41181,NA,30777,"CI-1","No"
58,"Repaid on time","Due payment","CE-580",NA,"Same month",NA,NA,"Yes","Dominic Reaksecker","m",94309,NA,27185,"CI-1","No"
24,"Repaid on time","Due payment","CE-581",NA,"Same month",NA,NA,"No","Jake Cresanta","m",30159,NA,38719,"CI-1","No"
25,"Past arrears","Due payment","CE-583",NA,"Same week",NA,NA,"Yes","Yasaman Cavender","f",23192,NA,25244,"CI-1","No"
40,"Past arrears","Clear","CE-585",NA,"Same week",NA,NA,"Yes","Victoria Dallee","f",44894,NA,12584,"CI-1","No"
57,"Paid on time","Clear","CE-586",NA,"Same week",NA,NA,"Yes","Connor Monroe","m",90337,NA,11392,"CI-1","No"
31,"Past arrears","Due payment","CE-593",NA,"Same week",NA,NA,"No","Luke Patterson","m",43684,NA,31580,"CI-1","No"
29,"Repaid on time","Clear","CE-594",NA,"Same week",NA,NA,"Yes","Kaden Duke","m",38079,NA,23932,"CI-1","No"
38,"Repaid on time","Clear","CE-597",NA,"Same day",NA,NA,"No","Mark Sandoval","m",39780,NA,20153,"CI-1","No"
33,"Paid on time","Clear","CE-599",NA,"Same week",NA,NA,"No","Danielle Johnson","f",49278,NA,12923,"CI-1","No"
38,"Repaid on time","Clear","CE-601",NA,"Same day",NA,NA,"No","Kenneth Skeans","m",58170,NA,34197,"CI-1","No"
